name,item_id,flavor,image_id
Lava Gold,0faa80f6-393f-4363-aeb4-f94f02bb88c9,Perennial,
Lady Godiva,b8a05e22-1fdb-4d7d-ae04-5ef5910139d9,Moderate,
Pink Leda,db54b3ca-cedb-4e84-804d-20579700119e,,7e9e6020-0628-4b38-9749-c247c407bce6
Conquerors Gold,ebe694df-a92f-4e4d-a242-1420020e0c09,Showy,1b199cbf-2c60-4405-be95-dfe61246238d
Louise Catherine Breslau,89f5df41-58d5-4cd0-8ed0-dabeb0f75b2a,Moderate,
Orange Sunblaze,8ee2ab17-5be5-4515-8fb1-a35763604bac,Orange Sunblaze,
Nutkana Var Hispida,91424748-6ab5-4cd7-9201-2d20f26ec70b,Perennial,ca0f6651-69d1-4573-aa1c-5eefe251aac4
Rosie ODonnell,cd6cd094-0099-475a-9164-0c8d4752d2f6,Shrub,2c27640f-d64f-4a70-9204-7a8caaa2d994
Nouveau Monde,3800a1f0-fca5-4494-b29e-6f56b365286d,Showy,550ab238-f0c1-4d78-a3a3-723e193d42d0
Magic Dragon,cdeea4de-6973-4eaf-a3f2-3126475f415a,Showy,d1a19eb2-00a9-4935-957a-a246e3a9c62c
Mon Petit Chou,261561b9-6e11-4067-b9c0-411d603f49ee,Perennial,
Ritter Von Barmstede,55980823-9bbb-4256-84f1-b995d283b9ff,Typically 10-15 feet tall,
Madhatter,f837004a-3138-49ef-bd8e-273fb6138573,Perennial,
Emi,bd392f0a-a69b-4449-9e03-bde3e648a474,Floribunda,99b9da10-c4a7-462d-bfa1-6042dc71048f
Nipponensis,9762d6d0-23e6-4486-88bb-b42c9f159d4c,Shrub,239e565e-75c1-41f2-b1da-19c69c253389
Lady Hillingdon,37308854-d33a-4568-a835-a5d7f91856d4,Lady Hillingdon,7d78840d-2390-45e1-a99e-8779cee55fb8
Porcelaine De Chine,4d8cbaf8-e977-44ba-8dc9-69ef19c20874,,
Neon Lights,93c2bde5-a0e0-440a-92fb-9991b14a0ac0,Strong,337b4389-c1f7-4f80-8a7e-33fb7afb7373
White Cloud,097a564c-0fef-44cd-8591-80c9ff132729,Bees,
Rainbow,aa97b996-dffe-49fd-8f49-edcffa83cdab,aa97b996-dffe-49fd-8f49-edcffa83cdab,2695eec5-3289-4fad-a85a-d98c18082171
Morning Dawn,0517521e-c2aa-4221-8aef-e7ec4cce2e62,Deciduous,fb60cf04-7326-4bbf-8214-bee80b064fd5
Sarah Van Fleet,9402b034-f65b-490d-8967-e2d7a299aa9c,1631,4e9de878-0429-43b8-8ac3-c727cc6904cf
Loyal Friend,35527f74-aaee-4729-86e8-bc16eb887cbf,5-6 feet,d8d6c6ef-bc99-420e-9eb7-052d1eba0018
Madame Joseph Schwartz,b8c26c81-3f1c-4ce1-a5d1-0c8fdaf0ebf2,4,f72ebc87-e1eb-482e-9697-3cefa9ce552c
Maggie,5397c05a-93ba-4569-8954-384d0d9bb48a,8,609c2be5-d07e-422e-9ad6-515d9ba863c0
Show Stopper,97827594-a7a1-430d-b6f7-c2d0224fd0de,Showy,5e2d6ad1-db37-456a-a800-8f14e167d32c
Liverpool Echo,8c1de525-f99d-4d4c-a0fe-76e8f46df4ff,Floribunda,
High Esteem,90cf3fe3-bba1-4dcc-ab64-9724ecff7f9d,Showy,836f1452-2d84-4570-bd18-f07731d311e1
Starshine,c3140008-da68-4c0e-9dd1-2dbd5d2d53f0,"Medium-tall, 4-5 feet, upright",bb596afc-8acc-4feb-a5f7-14535be34d3a
Kardinal Kolorscape,8a986986-5d94-4da5-adf8-015972c0ce2b,Bees,a32f1f35-053c-4b7b-9035-4f5c31b56a74
The Lady Gardener,36b4228a-90d5-472a-93de-71bc78ad9e7e,Bees,c19b1ead-2b7d-420f-9bfe-14f7276ec8ba
Patriot Song,fea5f47a-4d9f-48df-87ee-4e76d300e02e,Perennial,ded81e86-694f-448a-b23a-7a5c8acf3eec
La Rose De Molinard,3e96f6dc-3371-4731-81a8-52a86285e71c,4-5 feet,
High Hopes,3fdf6ffc-53f8-4b35-a8d9-02d12c891497,2750,50ea044f-6884-46ac-b547-58b88d46c9bb
Mystic Fairy,20b38ca3-4f6c-4d36-93b9-b185d9d024bb,Mild,
Sir Cedric Morris,8e16bc86-b60d-49fa-8f4f-100fa3a0a75e,1,8a212bee-5d3f-4fa7-8fec-ffdd611be384
Hot Kiss Kordana,3fbe81d9-cb23-4fea-944f-205b77ca2e4a,528010,61793da0-e498-4fbb-aad3-d61e3c465553
Hauraki,e886373d-3fb5-402d-878b-c08aa6e96707,,823d52c7-0aa0-462a-9791-1e5d8dfff083
Irish Hope,054385b1-6dc6-4dd0-afc1-20158dba3c32,Cupped,04c001de-da7e-4558-8576-aa7a763ecdc7
Improved Cecile Brunner,216a113b-ee42-4452-9242-91d6f805bd15,1453,c71e1c60-3d1d-4491-affa-3d2c0db777f8
Tranquility,aeb04387-3f9d-4b0a-ae24-24668aed9204,2-3 feet,a53d772c-b1ef-4aee-8ae3-1c7d428e4f0d
Wimi,a24f2adb-5a3e-4d3d-bb77-298a977e5dea,8,f15ace46-27f8-4ce4-83c1-2e204f94a29b
Louis Gimard,bd296a0b-b4de-4967-9537-3a38da936c71,827,
Rosenfee,ef51a9ef-6ab7-4e4c-b060-7f5ceb0bd987,2-4 feet,
Little Sunset,fa797aea-aa7a-4f52-b615-a5a1d3958b62,10-16 inches,c65a5850-dd84-4540-8bc6-ca72ed8aff59
Peacekeeper,a44f5b65-b698-40b6-8c7c-4cb0d98fa4f7,High-centered,
Novalis,ba942509-2e1e-4029-b19b-4a4394aa6822,,726a12d7-37b1-438a-9c2a-169919e8e240
Blue Mist,b6a4f74e-e522-42bf-a1dd-5fbae3ebfe89,Perennial,588ef71f-2f10-4850-8e47-3923700511a5
Night Owl,365a4409-44e9-40e3-be2f-577fac965e0b,Night Owl,025a614d-dc36-4569-b329-664d59f8fbb9
Magenta Floorshow,56d66fe9-1d72-4f02-a155-bdeb20fd0954,Magenta Floorshow,94719275-25b4-4974-a5d8-b025b8be63be
Rosenresli,7e5db648-4341-4730-9a2b-00518db89458,Bees,759d3554-79bd-400a-bfde-29bed2d7bfa1
Sven,a8474651-e1c0-4d85-bd67-d89f129d7b39,Deciduous,dd10088e-34d5-4294-b6ec-9b1d01c38026
Peggy Rockefeller,50310fb3-328f-425e-9899-01f4bff6ec99,Bees,fb03ae4b-223d-4ac6-ba6e-6b57b2d99608
Lady In Waiting,21d53ec0-2543-42cc-9012-146505d08a4c,186019,eee28d1c-f997-413f-8d31-52a6df031731
Tropical Amazone,b14e03e6-8a61-4f11-b98f-8f904996781c,676048,5e7411a1-500c-4a30-bf4f-937fd8e35d8d
Kommodore,c9f728e7-59ca-4262-8df0-33ad546c7db0,,32e49d6e-9026-4e87-951e-8e1dbe7459e6
Tresor Du Jardin,f98095c8-749d-47ce-8f91-a09894f77c61,Shrub,1dfcdc1a-a796-4d0d-8aaa-86f68f0d13d9
Jalitah,5b0ea0a3-8261-4cdc-b0bd-ace0eba8d5e6,Showy,4471f713-1d28-403e-80b8-027b7988efd3
Magic Beauty,9195b8dc-206c-48c4-84cd-4fa925897193,Bees,
Persian Sunset,6b2fb85a-8291-4e9b-b2bc-84f568c73ae8,Bees,3db54909-48ca-4b7b-ab27-0280258a28e9
Wee Jock,76fdc729-745b-46f9-a9df-928553b90bfd,3054,
Acicularis,a1ecc2f0-d406-4bda-afb3-54c5bd4c5cbf,Moderate,befe99df-e44a-494d-8693-741f87198dfd
Sunday Brunch,3405bacb-04ee-41e2-bf3b-20e3d1dc786b,Perennial,b04c58a8-1366-4b2c-b822-3ad6bbed487d
Pompon Flower Circus,ea6947ef-bc85-4a1d-83a8-79e1468cdf81,Showy,
Horatio Nelson,2f0965f0-c0db-4cc3-8ef5-81ea45d77266,2-4 feet,186cfe5c-2ad1-4f97-a871-9120465546fe
Sequoia Twist,eacdd126-9569-4a8b-88a8-ce36cb859ae6,1-2 feet,696dce5b-7e1a-43c7-9311-e711f5ef988f
Rhodophile Gravereaux,1014a35a-256c-44b6-9e81-f02e9b1c9a91,,347c64f2-a04e-4ae8-a080-3e1494480d48
Pauls Pride,cc44b941-f8c9-4382-a7cb-db1bbd62b0dc,4-5 feet,c4bad78b-558e-4408-8878-36e72bb1212c
Pennies From Heaven,65d30653-72ae-4082-8c9d-375e137c688e,1,6731efda-c115-45c9-9b84-3ff5e817ac44
Oakington Ruby,47e79a6d-b8f4-45f7-8b83-ae0f3e59180a,47e79a6d-b8f4-45f7-8b83-ae0f3e59180a,
Mr Chips,36d16ebe-96f6-4215-950e-14beb8f49a06,775128,8fb4b7e7-ea3a-4254-a694-254d923fc6db
Alice Hamilton,753b8b55-82d1-426a-82af-3e29ebb80049,3-4 feet,f5ccf626-0fa9-4a41-a395-ef795b7248ee
Timothy Eaton,b83038d4-cff2-4035-b079-f0e2dc049c40,2-3 feet,de53776d-4616-4080-a402-22d088efa440
Wasagaming,2ef08598-4745-4422-b9f6-a0918fd86080,Perennial,64fdd9db-4368-4210-b94b-ba54b0d4bde7
Sweet Arlene,c0e27dfb-26a5-467d-901b-44e4f729ca8b,Shrub,2c0ff38d-9e07-4718-8ad4-be9d5b6e481d
Music Maker,77382611-dc1a-4f5d-b1eb-c61142df020f,Deciduous,
